,trnA,nad2,nad5,trnK,trnP,trnV,atp6,nad4L,trnQ,rrnL,trnW,trnF,trnH,trnT,trnN,trnM,trnI,rrnS,nad4,cox3,nad1,trnE,atp8,trnL,cox2,cox1,trnS,nad3,trnY,trnR,cob,trnC,nad6,trnD,trnG
nad1,0.001261488556496666,0.0005406379527842854,0.0,0.0005406379527842854,0.001081275905568571,0.0,0.0007208506037123806,0.0003604253018561903,0.012074247612182376,0.019462966300234277,0.0009010632546404757,0.00018021265092809516,0.00018021265092809516,0.0005406379527842854,0.0,0.0027031897639214274,0.9821589475581186,0.0,0.0,0.0,1,0.00018021265092809516,0.0,0.9754910794737791,0.0,0.0,0.00018021265092809516,0.0,0.0,0.0003604253018561903,0.00018021265092809516,0.0,0.0,0.0003604253018561903,0.0014417012074247613
trnE,0.0,0.0007208506037123806,0.0019823391602090466,0.00018021265092809516,0.01189403496125428,0.0005406379527842854,0.0,0.00018021265092809516,0.0003604253018561903,0.00018021265092809516,0.00018021265092809516,0.13894395386556135,0.0,0.007388718688051901,0.00018021265092809516,0.002342764462065237,0.002162551811137142,0.0003604253018561903,0.00018021265092809516,0.0,0.00018021265092809516,1,0.0,0.001261488556496666,0.0003604253018561903,0.0005406379527842854,0.001261488556496666,0.0009010632546404757,0.00018021265092809516,0.0,0.842854568390701,0.0009010632546404757,0.9850423499729681,0.0,0.001081275905568571
atp8,0.0005406379527842854,0.0,0.00018021265092809516,0.9931519192647323,0.0003604253018561903,0.0,0.9954946837267976,0.0,0.00018021265092809516,0.0003604253018561903,0.0005406379527842854,0.0007208506037123806,0.0003604253018561903,0.0,0.00018021265092809516,0.00018021265092809516,0.00018021265092809516,0.0,0.00018021265092809516,0.0003604253018561903,0.0,0.0,1,0.0007208506037123806,0.0014417012074247613,0.00018021265092809516,0.0003604253018561903,0.00018021265092809516,0.0,0.0005406379527842854,0.0,0.0003604253018561903,0.0,0.00018021265092809516,0.00018021265092809516
trnL,0.0003604253018561903,0.001081275905568571,0.9740493782663543,0.0003604253018561903,0.010452333753829519,0.0014417012074247613,0.0003604253018561903,0.0007208506037123806,0.01928275364930618,0.9740493782663543,0.00018021265092809516,0.002522977112993332,0.008109569291764282,0.020183816903946657,0.0003604253018561903,0.0014417012074247613,0.012975310866822852,0.0018021265092809514,0.0003604253018561903,0.0,0.9754910794737791,0.001261488556496666,0.0007208506037123806,1,0.0009010632546404757,0.0005406379527842854,0.967922148134799,0.0005406379527842854,0.0009010632546404757,0.0003604253018561903,0.017300414489097134,0.0005406379527842854,0.0007208506037123806,0.0,0.0003604253018561903
cox2,0.0007208506037123806,0.0,0.00018021265092809516,0.9936925572175167,0.0003604253018561903,0.0005406379527842854,0.00018021265092809516,0.0,0.00018021265092809516,0.0,0.0,0.0003604253018561903,0.00018021265092809516,0.0003604253018561903,0.0003604253018561903,0.00018021265092809516,0.0,0.00018021265092809516,0.00018021265092809516,0.0005406379527842854,0.0,0.0003604253018561903,0.0014417012074247613,0.0009010632546404757,1,0.0027031897639214274,0.001261488556496666,0.0,0.00018021265092809516,0.0,0.002342764462065237,0.0,0.0,0.9917102180573076,0.0005406379527842854
cox1,0.001261488556496666,0.0,0.0005406379527842854,0.00018021265092809516,0.00018021265092809516,0.00018021265092809516,0.0,0.0003604253018561903,0.00018021265092809516,0.0,0.00018021265092809516,0.0,0.0003604253018561903,0.0005406379527842854,0.003964678320418093,0.001261488556496666,0.00018021265092809516,0.0,0.00018021265092809516,0.0009010632546404757,0.0,0.0005406379527842854,0.00018021265092809516,0.0005406379527842854,0.0027031897639214274,1,0.9915300054063795,0.0003604253018561903,0.9897278788970986,0.0,0.0,0.002162551811137142,0.0005406379527842854,0.001081275905568571,0.00018021265092809516
trnS,0.0007208506037123806,0.0003604253018561903,0.019643178951162372,0.001081275905568571,0.0007208506037123806,0.0003604253018561903,0.0005406379527842854,0.0,0.0005406379527842854,0.0005406379527842854,0.0005406379527842854,0.0014417012074247613,0.990448729500811,0.00018021265092809516,0.0005406379527842854,0.001081275905568571,0.00018021265092809516,0.0009010632546404757,0.006487655433411426,0.0007208506037123806,0.00018021265092809516,0.001261488556496666,0.0003604253018561903,0.967922148134799,0.001261488556496666,0.9915300054063795,1,0.001081275905568571,0.0027031897639214274,0.0007208506037123806,0.0009010632546404757,0.0005406379527842854,0.005406379527842855,0.9933321319156605,0.0009010632546404757
nad3,0.0003604253018561903,0.0,0.0007208506037123806,0.00018021265092809516,0.00018021265092809516,0.0005406379527842854,0.0,0.001261488556496666,0.00018021265092809516,0.0,0.0,0.0003604253018561903,0.0007208506037123806,0.00018021265092809516,0.0003604253018561903,0.0007208506037123806,0.0007208506037123806,0.00018021265092809516,0.0007208506037123806,0.0018021265092809514,0.0,0.0009010632546404757,0.00018021265092809516,0.0005406379527842854,0.0,0.0003604253018561903,0.001081275905568571,1,0.0,0.9933321319156605,0.00018021265092809516,0.0,0.0,0.00018021265092809516,0.9933321319156605
trnY,0.0009010632546404757,0.00018021265092809516,0.00018021265092809516,0.0,0.0005406379527842854,0.001081275905568571,0.00018021265092809516,0.0,0.0005406379527842854,0.00018021265092809516,0.001261488556496666,0.00018021265092809516,0.0003604253018561903,0.0007208506037123806,0.009190845197332853,0.0009010632546404757,0.0,0.0,0.0,0.0005406379527842854,0.0,0.00018021265092809516,0.0,0.0009010632546404757,0.00018021265092809516,0.9897278788970986,0.0027031897639214274,0.0,1,0.0,0.0005406379527842854,0.9879257523878177,0.0007208506037123806,0.00018021265092809516,0.0005406379527842854
trnR,0.0003604253018561903,0.0009010632546404757,0.00018021265092809516,0.001081275905568571,0.0,0.00018021265092809516,0.0005406379527842854,0.994413407821229,0.0014417012074247613,0.0,0.00018021265092809516,0.00018021265092809516,0.0007208506037123806,0.0,0.0,0.0,0.0005406379527842854,0.0,0.0007208506037123806,0.0003604253018561903,0.0003604253018561903,0.0,0.0005406379527842854,0.0003604253018561903,0.0,0.0,0.0007208506037123806,0.9933321319156605,0.0,1,0.0,0.00018021265092809516,0.0005406379527842854,0.0003604253018561903,0.001081275905568571
cob,0.0007208506037123806,0.00018021265092809516,0.14885564966660658,0.00018021265092809516,0.003964678320418093,0.0003604253018561903,0.0,0.0,0.0027031897639214274,0.00018021265092809516,0.0003604253018561903,0.0014417012074247613,0.001081275905568571,0.9691836366912957,0.0003604253018561903,0.0003604253018561903,0.00018021265092809516,0.0003604253018561903,0.0,0.0,0.00018021265092809516,0.842854568390701,0.0,0.017300414489097134,0.002342764462065237,0.0,0.0009010632546404757,0.00018021265092809516,0.0005406379527842854,0.0,1,0.0005406379527842854,0.003243827716705713,0.0,0.0005406379527842854
trnC,0.013155523517750947,0.0003604253018561903,0.0,0.0007208506037123806,0.0,0.00018021265092809516,0.0,0.0005406379527842854,0.0003604253018561903,0.00018021265092809516,0.007749143989908091,0.0005406379527842854,0.0005406379527842854,0.0,0.9803568210488376,0.0003604253018561903,0.00018021265092809516,0.0,0.0003604253018561903,0.0003604253018561903,0.0,0.0009010632546404757,0.0003604253018561903,0.0005406379527842854,0.0,0.002162551811137142,0.0005406379527842854,0.0,0.9879257523878177,0.00018021265092809516,0.0005406379527842854,1,0.0,0.0007208506037123806,0.0005406379527842854
nad6,0.0009010632546404757,0.0,0.8406920165795639,0.0003604253018561903,0.13912416651648946,0.0003604253018561903,0.0,0.0009010632546404757,0.0028834024148495225,0.0003604253018561903,0.0003604253018561903,0.0009010632546404757,0.0005406379527842854,0.008830419895476662,0.0009010632546404757,0.0005406379527842854,0.0,0.0,0.0003604253018561903,0.0,0.0,0.9850423499729681,0.0,0.0007208506037123806,0.0,0.0005406379527842854,0.005406379527842855,0.0,0.0007208506037123806,0.0005406379527842854,0.003243827716705713,0.0,1,0.0018021265092809514,0.002162551811137142
trnD,0.0014417012074247613,0.00018021265092809516,0.0003604253018561903,0.0009010632546404757,0.00018021265092809516,0.0,0.0,0.00018021265092809516,0.0005406379527842854,0.0003604253018561903,0.0009010632546404757,0.0007208506037123806,0.0,0.0009010632546404757,0.0,0.0009010632546404757,0.0,0.0005406379527842854,0.0,0.0005406379527842854,0.0003604253018561903,0.0,0.00018021265092809516,0.0,0.9917102180573076,0.001081275905568571,0.9933321319156605,0.00018021265092809516,0.00018021265092809516,0.0003604253018561903,0.0,0.0007208506037123806,0.0018021265092809514,1,0.0007208506037123806
trnG,0.001081275905568571,0.0005406379527842854,0.002162551811137142,0.0,0.00018021265092809516,0.00018021265092809516,0.0005406379527842854,0.0009010632546404757,0.0007208506037123806,0.00018021265092809516,0.0007208506037123806,0.00018021265092809516,0.001261488556496666,0.0009010632546404757,0.0007208506037123806,0.0003604253018561903,0.0,0.0005406379527842854,0.0005406379527842854,0.9929717066138043,0.0014417012074247613,0.001081275905568571,0.00018021265092809516,0.0003604253018561903,0.0005406379527842854,0.00018021265092809516,0.0009010632546404757,0.9933321319156605,0.0005406379527842854,0.001081275905568571,0.0005406379527842854,0.0005406379527842854,0.002162551811137142,0.0007208506037123806,1
